State,County Name,FIPS County
Illinois,Adams,001
Illinois,Alexander,003
Illinois,Bond,005
Illinois,Boone,007
Illinois,Brown,009
Illinois,Bureau,011
Illinois,Calhoun,013
Illinois,Carroll,015
Illinois,Cass,017
Illinois,Champaign,019
Illinois,Christian,021
Illinois,Clark,023
Illinois,Clay,025
Illinois,Clinton,027
Illinois,Coles,029
Illinois,Cook,031
Illinois,Crawford,033
Illinois,Cumberland,035
Illinois,De Kalb,037
Illinois,Dewitt,039
Illinois,Douglas,041
Illinois,Du Page,043
Illinois,Edgar,045
Illinois,Edwards,047
Illinois,Effingham,049
Illinois,Fayette,051
Illinois,Ford,053
Illinois,Franklin,055
Illinois,Fulton,057
Illinois,Gallatin,059
Illinois,Greene,061
Illinois,Grundy,063
Illinois,Hamilton,065
Illinois,Hancock,067
Illinois,Hardin,069
Illinois,Henderson,071
Illinois,Henry,073
Illinois,Iroquois,075
Illinois,Jackson,077
Illinois,Jasper,079
Illinois,Jefferson,081
Illinois,Jersey,083
Illinois,Jo Daviess,085
Illinois,Johnson,087
Illinois,Kane,089
Illinois,Kankakee,091
Illinois,Kendall,093
Illinois,Knox,095
Illinois,Lake,097
Illinois,La Salle,099
Illinois,Lawrence,101
Illinois,Lee,103
Illinois,Livingston,105
Illinois,Logan,107
Illinois,McDonough,109
Illinois,McHenry,111
Illinois,Mclean,113
Illinois,Macon,115
Illinois,Macoupin,117
Illinois,Madison,119
Illinois,Marion,121
Illinois,Marshall,123
Illinois,Mason,125
Illinois,Massac,127
Illinois,Menard,129
Illinois,Mercer,131
Illinois,Monroe,133
Illinois,Montgomery,135
Illinois,Morgan,137
Illinois,Moultrie,139
Illinois,Ogle,141
Illinois,Peoria,143
Illinois,Perry,145
Illinois,Piatt,147
Illinois,Pike,149
Illinois,Pope,151
Illinois,Pulaski,153
Illinois,Putnam,155
Illinois,Randolph,157
Illinois,Richland,159
Illinois,Rock Island,161
Illinois,St Clair,163
Illinois,Saline,165
Illinois,Sangamon,167
Illinois,Schuyler,169
Illinois,Scott,171
Illinois,Shelby,173
Illinois,Stark,175
Illinois,Stephenson,177
Illinois,Tazewell,179
Illinois,Union,181
Illinois,Vermilion,183
Illinois,Wabash,185
Illinois,Warren,187
Illinois,Washington,189
Illinois,Wayne,191
Illinois,White,193
Illinois,Whiteside,195
Illinois,Will,197
Illinois,Williamson,199
Illinois,Winnebago,201
Illinois,Woodford,203
